id,name,key,code,alt_names,country_id,state_id,part_id,county_id,pop,area,created_at,updated_at
98,Paris,paris,,,114,,,,,,"2017-12-28 04:32:13.955927","2017-12-28 04:32:20.325813"
99,Athens,athens,,,115,,,,,,"2017-12-28 04:32:13.965875","2017-12-28 04:32:13.965875"
100,Dublin,dublin,,,116,,,,,,"2017-12-28 04:32:13.975668","2017-12-28 04:32:13.975668"
101,"Vatican City",vaticancity,,,146,,,,,,"2017-12-28 04:32:14.146915","2017-12-28 04:32:14.146915"
102,Sarajevo,sarajevo,,,147,,,,,,"2017-12-28 04:32:14.155614","2017-12-28 04:32:14.155614"
103,Vaduz,vaduz,,,148,,,,,,"2017-12-28 04:32:14.165320","2017-12-28 04:32:14.165320"
104,Monaco,monaco,,,149,,,,,,"2017-12-28 04:32:14.174486","2017-12-28 04:32:14.174486"
105,Podgorica,podgorica,,,150,,,,,,"2017-12-28 04:32:14.185798","2017-12-28 04:32:14.185798"
106,"Chișinău",chisinau,,,151,,,,,,"2017-12-28 04:32:14.195068","2017-12-28 04:32:14.195068"
107,"(City of) San Marino",sanmarino,,,152,,,,,,"2017-12-28 04:32:14.203891","2017-12-28 04:32:14.203891"
108,"Bakı",baku,,,155,,,,,,"2017-12-28 04:32:14.224665","2017-12-28 04:32:14.224665"
109,Manama,manama,,,156,,,,,,"2017-12-28 04:32:14.234209","2017-12-28 04:32:14.234209"
110,"Kuwait City",kuwaitcity,,,157,,,,,,"2017-12-28 04:32:14.244658","2017-12-28 04:32:14.244658"
111,Muscat,muscat,,,158,,,,,,"2017-12-28 04:32:14.253738","2017-12-28 04:32:14.253738"
112,Doha,doha,,,159,,,,,,"2017-12-28 04:32:14.262064","2017-12-28 04:32:14.262064"
113,Riyadh,riyadh,,,160,,,,,,"2017-12-28 04:32:14.274616","2017-12-28 04:32:14.274616"
114,"Abu Dhabi",abudhabi,,,161,,,,,,"2017-12-28 04:32:14.284732","2017-12-28 04:32:14.284732"
115,"Sana'a",sanaa,,,162,,,,,,"2017-12-28 04:32:14.293224","2017-12-28 04:32:14.293224"
116,Baghdad,baghdad,,,163,,,,,,"2017-12-28 04:32:14.302184","2017-12-28 04:32:14.302184"
117,Jerusalem,jerusalem,,,164,,,,,,"2017-12-28 04:32:14.311720","2017-12-28 04:32:14.311720"
118,Amman,amman,,,165,,,,,,"2017-12-28 04:32:14.322268","2017-12-28 04:32:14.322268"
119,Beirut,beirut,,,166,,,,,,"2017-12-28 04:32:14.330962","2017-12-28 04:32:14.330962"
120,Damascus,damascus,,,168,,,,,,"2017-12-28 04:32:14.345899","2017-12-28 04:32:14.345899"
121,Tehran,tehran,,,169,,,,,,"2017-12-28 04:32:14.355327","2017-12-28 04:32:14.355327"
122,Canberra,canberra,,,173,,,,,,"2017-12-28 04:32:14.384030","2017-12-28 04:32:14.384030"
123,"Port Moresby",portmoresby,,,174,,,,,,"2017-12-28 04:32:14.393038","2017-12-28 04:32:14.393038"
124,Suva,suva,,,175,,,,,,"2017-12-28 04:32:14.403261","2017-12-28 04:32:14.403261"
125,Honiara,honiara,,,176,,,,,,"2017-12-28 04:32:14.411503","2017-12-28 04:32:14.411503"
126,"Port Vila",portvila,,,177,,,,,,"2017-12-28 04:32:14.420926","2017-12-28 04:32:14.420926"
127,Ngerulmud,ngerulmud,,,178,,,,,,"2017-12-28 04:32:14.429542","2017-12-28 04:32:14.429542"
128,Palikir,palikir,,,179,,,,,,"2017-12-28 04:32:14.439119","2017-12-28 04:32:14.439119"
129,Majuro,majuro,,,180,,,,,,"2017-12-28 04:32:14.448940","2017-12-28 04:32:14.448940"
130,Yaren,yaren,,,181,,,,,,"2017-12-28 04:32:14.457059","2017-12-28 04:32:14.457059"
131,Tarawa,tarawa,,,182,,,,,,"2017-12-28 04:32:14.466777","2017-12-28 04:32:14.466777"
132,Wellington,wellington,,,183,,,,,,"2017-12-28 04:32:14.475680","2017-12-28 04:32:14.475680"
133,Apia,apia,,,184,,,,,,"2017-12-28 04:32:14.485028","2017-12-28 04:32:14.485028"
134,"Nuku'alofa",nukualofa,,,185,,,,,,"2017-12-28 04:32:14.493259","2017-12-28 04:32:14.493259"
135,Funafuti,funafuti,,,186,,,,,,"2017-12-28 04:32:14.503676","2017-12-28 04:32:14.503676"
136,"Buenos Aires",buenosaires,,,187,,,,,,"2017-12-28 04:32:14.512938","2017-12-28 04:32:14.512938"
137,"La Paz",lapaz,,,188,,,,,,"2017-12-28 04:32:14.523872","2017-12-28 04:32:14.523872"
138,"Brasília",brasilia,,,189,,,,,,"2017-12-28 04:32:14.533821","2017-12-28 04:32:14.533821"
139,Santiago,santiago,,,190,,,,,,"2017-12-28 04:32:14.542140","2017-12-28 04:32:14.542140"
140,"Bogotá",bogota,,,191,,,,,,"2017-12-28 04:32:14.551502","2017-12-28 04:32:14.551502"
141,Quito,quito,,,192,,,,,,"2017-12-28 04:32:14.559819","2017-12-28 04:32:14.559819"
142,Lima,lima,,,193,,,,,,"2017-12-28 04:32:14.570284","2017-12-28 04:32:14.570284"
143,"Asunción",asuncion,,,194,,,,,,"2017-12-28 04:32:14.578738","2017-12-28 04:32:14.578738"
144,Montevideo,montevideo,,,195,,,,,,"2017-12-28 04:32:14.588530","2017-12-28 04:32:14.588530"
145,Caracas,caracas,,,196,,,,,,"2017-12-28 04:32:14.597937","2017-12-28 04:32:14.597937"
146,"George Town",georgetown,,,221,,,,,,"2017-12-28 04:32:14.606394","2017-12-28 04:32:14.856102"
147,Paramaribo,paramaribo,,,198,,,,,,"2017-12-28 04:32:14.618054","2017-12-28 04:32:14.618054"
148,Mamoudzou,mamoudzou,,,199,,,,,,"2017-12-28 04:32:14.627727","2017-12-28 04:32:14.627727"
149,Jamestown,jamestown,,,201,,,,,,"2017-12-28 04:32:14.649458","2017-12-28 04:32:14.649458"
150,"Port-aux-Français",portauxfrancais,,,203,,,,,,"2017-12-28 04:32:14.670755","2017-12-28 04:32:14.670755"
151,"King Edward Point",kingedwardpoint,,,205,,,,,,"2017-12-28 04:32:14.689009","2017-12-28 04:32:14.689009"
152,"West Island",westisland,,,208,,,,,,"2017-12-28 04:32:14.717706","2017-12-28 04:32:14.717706"
153,"Flying Fish Cove",flyingfishcove,,,209,,,,,,"2017-12-28 04:32:14.729683","2017-12-28 04:32:14.729683"
154,"Diego Garcia",diegogarcia,,,210,,,,,,"2017-12-28 04:32:14.741352","2017-12-28 04:32:14.741352"
155,"Charlotte Amalie",charlotteamalie,,,212,,,,,,"2017-12-28 04:32:14.761013","2017-12-28 04:32:14.761013"
156,Marigot,marigot,,,216,,,,,,"2017-12-28 04:32:14.799627","2017-12-28 04:32:14.799627"
157,Oranjestad,oranjestad,,,217,,,,,,"2017-12-28 04:32:14.810715","2017-12-28 04:32:14.810715"
158,Willemstad,willemstad,,,218,,,,,,"2017-12-28 04:32:14.821213","2017-12-28 04:32:14.821213"
159,Philipsburg,philipsburg,,,219,,,,,,"2017-12-28 04:32:14.834296","2017-12-28 04:32:14.834296"
160,"The Valley",thevalley,,,220,,,,,,"2017-12-28 04:32:14.845140","2017-12-28 04:32:14.845140"
161,Plymouth,plymouth,,,222,,,,,,"2017-12-28 04:32:14.870654","2017-12-28 04:32:14.870654"
162,"Cockburn Town",cockburntown,,,223,,,,,,"2017-12-28 04:32:14.881497","2017-12-28 04:32:14.881497"
163,"Road Town",roadtown,,,224,,,,,,"2017-12-28 04:32:14.893545","2017-12-28 04:32:14.893545"
164,Belfast,belfast,,,228,,,,,,"2017-12-28 04:32:14.930271","2017-12-28 04:32:14.930271"
165,Hamilton,hamilton,,,237,,,,,,"2017-12-28 04:32:15.007903","2017-12-28 04:32:15.007903"
166,"Nouméa",noumea,,,239,,,,,,"2017-12-28 04:32:15.030693","2017-12-28 04:32:15.030693"
167,Saipan,saipan,,,243,,,,,,"2017-12-28 04:32:15.067145","2017-12-28 04:32:15.067145"
168,Alofi,alofi,,,245,,,,,,"2017-12-28 04:32:15.086726","2017-12-28 04:32:15.086726"
169,Fakaofo,fakaofo,,,246,,,,,,"2017-12-28 04:32:15.097451","2017-12-28 04:32:15.097451"
170,Kingston,kingston,,,247,,,,,,"2017-12-28 04:32:15.109176","2017-12-28 04:32:15.109176"
171,Adamstown,adamstown,,,248,,,,,,"2017-12-28 04:32:15.121673","2017-12-28 04:32:15.121673"
172,Cayenne,cayenne,,,249,,,,,,"2017-12-28 04:32:15.133809","2017-12-28 04:32:15.133809"
173,Stanley,stanley,,,250,,,,,,"2017-12-28 04:32:15.144672","2017-12-28 04:32:15.144672"
174,Marrakesh,marrakesh,,,29,,,,,,"2017-12-28 04:32:19.742473","2017-12-28 04:32:19.742473"
175,Agadir,agadir,,,29,,,,,,"2017-12-28 04:32:19.749874","2017-12-28 04:32:19.749874"
176,Johannesburg,johannesburg,,,34,,,,,,"2017-12-28 04:32:19.756815","2017-12-28 04:32:19.756815"
177,"Cape Town",capetown,,,34,,,,,,"2017-12-28 04:32:19.769493","2017-12-28 04:32:19.769493"
178,Durban,durban,,,34,,,,,,"2017-12-28 04:32:19.775027","2017-12-28 04:32:19.775027"
179,Pretoria,pretoria,,,34,,,,,,"2017-12-28 04:32:19.782755","2017-12-28 04:32:19.782755"
180,"Port Elizabeth",portelizabeth,,,34,,,,,,"2017-12-28 04:32:19.788721","2017-12-28 04:32:19.788721"
181,Polokwane,polokwane,,,34,,,,,,"2017-12-28 04:32:19.794080","2017-12-28 04:32:19.794080"
182,Nelspruit,nelspruit,,,34,,,,,,"2017-12-28 04:32:19.800880","2017-12-28 04:32:19.800880"
183,Bloemfontein,bloemfontein,,,34,,,,,,"2017-12-28 04:32:19.806405","2017-12-28 04:32:19.806405"
184,Rustenburg,rustenburg,,,34,,,,,,"2017-12-28 04:32:19.812606","2017-12-28 04:32:19.812606"
185,Graz,graz,,,107,,,,,,"2017-12-28 04:32:19.851923","2017-12-28 04:32:19.851923"
186,Kapfenberg,kapfenberg,,,107,,,,,,"2017-12-28 04:32:19.861942","2017-12-28 04:32:19.861942"
187,Hartberg,hartberg,,,107,,,,,,"2017-12-28 04:32:19.869080","2017-12-28 04:32:19.869080"
188,Linz,linz,,,107,,,,,,"2017-12-28 04:32:19.874697","2017-12-28 04:32:19.874697"
189,Ried,ried,,,107,,,,,,"2017-12-28 04:32:19.882511","2017-12-28 04:32:19.882511"
190,Pasching,pasching,,,107,,,,,,"2017-12-28 04:32:19.888151","2017-12-28 04:32:19.888151"
191,Steyr,steyr,,,107,,,,,,"2017-12-28 04:32:19.893613","2017-12-28 04:32:19.893613"
192,"Wiener Neustadt",wienerneustadt,,,107,,,,,,"2017-12-28 04:32:19.900744","2017-12-28 04:32:19.900744"
193,"Maria Enzersdorf",mariaenzersdorf,,,107,,,,,,"2017-12-28 04:32:19.906492","2017-12-28 04:32:19.906492"
194,"St. Pölten",stpoelten,,,107,,,,,,"2017-12-28 04:32:19.914381","2017-12-28 04:32:19.914381"
195,Horn,horn,,,107,,,,,,"2017-12-28 04:32:19.924721","2017-12-28 04:32:19.924721"
196,Krems,krems,,,107,,,,,,"2017-12-28 04:32:19.931588","2017-12-28 04:32:19.931588"
197,Mattersburg,mattersburg,,,107,,,,,,"2017-12-28 04:32:19.937626","2017-12-28 04:32:19.937626"
198,Parndorf,parndorf,,,107,,,,,,"2017-12-28 04:32:19.944066","2017-12-28 04:32:19.944066"
199,Klagenfurt,klagenfurt,,,107,,,,,,"2017-12-28 04:32:19.952466","2017-12-28 04:32:19.952466"
200,Wolfsberg,wolfsberg,,,107,,,,,,"2017-12-28 04:32:19.957899","2017-12-28 04:32:19.957899"
201,"Spittal (an der Drau)",spittal,,,107,,,,,,"2017-12-28 04:32:19.964695","2017-12-28 04:32:19.964695"
202,"Salzburg (Wals-Siezenheim)",salzburg,,,107,,,,,,"2017-12-28 04:32:19.970439","2017-12-28 04:32:19.970439"
203,"Grödig",groedig,,,107,,,,,,"2017-12-28 04:32:19.976151","2017-12-28 04:32:19.976151"
204,Innsbruck,innsbruck,,,107,,,,,,"2017-12-28 04:32:19.984303","2017-12-28 04:32:19.984303"
205,Kufstein,kufstein,,,107,,,,,,"2017-12-28 04:32:19.989728","2017-12-28 04:32:19.989728"
206,Wattens,wattens,,,107,,,,,,"2017-12-28 04:32:19.995952","2017-12-28 04:32:19.995952"
207,Altach,altach,,,107,,,,,,"2017-12-28 04:32:20.001619","2017-12-28 04:32:20.001619"
208,Lustenau,lustenau,,,107,,,,,,"2017-12-28 04:32:20.007379","2017-12-28 04:32:20.007379"
209,Bregenz,bregenz,,,107,,,,,,"2017-12-28 04:32:20.015895","2017-12-28 04:32:20.015895"
210,Dornbirn,dornbirn,,,107,,,,,,"2017-12-28 04:32:20.022388","2017-12-28 04:32:20.022388"
211,Geneva,geneva,,,137,,,,,,"2017-12-28 04:32:20.029246","2017-12-28 04:32:20.029246"
212,Basel,basel,,,137,,,,,,"2017-12-28 04:32:20.034926","2017-12-28 04:32:20.034926"
213,Bern,bern,,,137,,,,,,"2017-12-28 04:32:20.040704","2017-12-28 04:32:20.040704"
214,Zurich,zurich,,,137,,,,,,"2017-12-28 04:32:20.051691","2017-12-28 04:32:20.051691"
215,Dortmund,dortmund,,,110,,,,,,"2017-12-28 04:32:20.067358","2017-12-28 04:32:20.067358"
216,Gelsenkirchen,gelsenkirchen,,,110,,,,,,"2017-12-28 04:32:20.073011","2017-12-28 04:32:20.073011"
217,"Köln",koeln,,,110,,,,,,"2017-12-28 04:32:20.080125","2017-12-28 04:32:20.080125"
218,"Mönchengladbach",moenchengladbach,,,110,,,,,,"2017-12-28 04:32:20.086793","2017-12-28 04:32:20.086793"
219,Leverkusen,leverkusen,,,110,,,,,,"2017-12-28 04:32:20.092507","2017-12-28 04:32:20.092507"
220,Bochum,bochum,,,110,,,,,,"2017-12-28 04:32:20.100409","2017-12-28 04:32:20.100409"
221,Bielefeld,bielefeld,,,110,,,,,,"2017-12-28 04:32:20.106229","2017-12-28 04:32:20.106229"
222,Paderborn,paderborn,,,110,,,,,,"2017-12-28 04:32:20.113572","2017-12-28 04:32:20.113572"
223,Augsburg,augsburg,,,110,,,,,,"2017-12-28 04:32:20.123226","2017-12-28 04:32:20.123226"
224,"Fürth",fuerth,,,110,,,,,,"2017-12-28 04:32:20.129459","2017-12-28 04:32:20.129459"
225,Ingolstadt,ingolstadt,,,110,,,,,,"2017-12-28 04:32:20.135223","2017-12-28 04:32:20.135223"
226,Stuttgart,stuttgart,,,110,,,,,,"2017-12-28 04:32:20.141895","2017-12-28 04:32:20.141895"
227,Sinsheim,sinsheim,,,110,,,,,,"2017-12-28 04:32:20.149213","2017-12-28 04:32:20.149213"
