id,msg,level,app,tag,pid,tid,ts,created_at,updated_at
78,"city with key cairo missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.007542","2017-12-28 04:32:36.007542"
79,"city with key giza missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.011791","2017-12-28 04:32:36.011791"
80,"city with key ismailia missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.014986","2017-12-28 04:32:36.014986"
81,"city with key alexandria missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.017927","2017-12-28 04:32:36.017927"
82,"city with key cairo missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.020884","2017-12-28 04:32:36.020884"
83,"city with key cairo missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.023745","2017-12-28 04:32:36.023745"
84,"city with key cairo missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.026531","2017-12-28 04:32:36.026531"
85,"city with key hurghada missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.031885","2017-12-28 04:32:36.031885"
86,"city with key cairo missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.034730","2017-12-28 04:32:36.034730"
87,"city with key elmahallaelkubra missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.037673","2017-12-28 04:32:36.037673"
88,"city with key alexandria missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.040607","2017-12-28 04:32:36.040607"
89,"city with key cairo missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.043548","2017-12-28 04:32:36.043548"
90,"city with key fayoum missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.046281","2017-12-28 04:32:36.046281"
91,"city with key suez missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.048993","2017-12-28 04:32:36.048993"
92,"city with key alexandria missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.051982","2017-12-28 04:32:36.051982"
93,"city with key cairo missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.054724","2017-12-28 04:32:36.054724"
94,"city with key banisweif missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.057477","2017-12-28 04:32:36.057477"
95,"city with key cairo missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.060404","2017-12-28 04:32:36.060404"
96,"city with key busan missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.102840","2017-12-28 04:32:36.102840"
97,"city with key gwangyang missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.105717","2017-12-28 04:32:36.105717"
98,"city with key daegu missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.108538","2017-12-28 04:32:36.108538"
99,"city with key daejeon missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.111562","2017-12-28 04:32:36.111562"
100,"city with key gangneung missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.114300","2017-12-28 04:32:36.114300"
101,"city with key changwon missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.116979","2017-12-28 04:32:36.116979"
102,"city with key incheon missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.119777","2017-12-28 04:32:36.119777"
103,"city with key seogwipo missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.122617","2017-12-28 04:32:36.122617"
104,"city with key jeonju missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.125955","2017-12-28 04:32:36.125955"
105,"city with key pohang missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.129988","2017-12-28 04:32:36.129988"
106,"city with key seongnam missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.132975","2017-12-28 04:32:36.132975"
107,"city with key suwon missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.137470","2017-12-28 04:32:36.137470"
108,"city with key ulsan missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.140362","2017-12-28 04:32:36.140362"
109,"city with key arima missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.161479","2017-12-28 04:32:36.161479"
110,"city with key narabella missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.164844","2017-12-28 04:32:36.164844"
111,"city with key bayamon missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.167878","2017-12-28 04:32:36.167878"
112,"city with key saintmarc missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.170929","2017-12-28 04:32:36.170929"
113,"city with key metapan missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.176645","2017-12-28 04:32:36.176645"
114,"city with key santaana missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.181698","2017-12-28 04:32:36.181698"
115,"city with key alajuela missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.188358","2017-12-28 04:32:36.188358"
116,"city with key heredia missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.191894","2017-12-28 04:32:36.191894"
117,"city with key sanpedrosula missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.199960","2017-12-28 04:32:36.199960"
118,"city with key sanpedrosula missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.202905","2017-12-28 04:32:36.202905"
119,"city with key guatemala missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.209715","2017-12-28 04:32:36.209715"
120,"city with key quetzaltenango missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.212741","2017-12-28 04:32:36.212741"
121,"city with key guatemala missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.215624","2017-12-28 04:32:36.215624"
122,"city with key panama missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.220112","2017-12-28 04:32:36.220112"
123,"city with key panama missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.223024","2017-12-28 04:32:36.223024"
124,"city with key colon missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.227778","2017-12-28 04:32:36.227778"
125,"city with key lachorrera missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.230872","2017-12-28 04:32:36.230872"
126,"city with key esteli missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.235643","2017-12-28 04:32:36.235643"
127,"unknown type for value >fodbold.aabsport.dk< - key aalborg",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.335956","2017-12-28 04:32:36.335956"
128,"city with key bucuresti missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.411604","2017-12-28 04:32:36.411604"
129,"city with key bucuresti missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.414456","2017-12-28 04:32:36.414456"
130,"city with key bucuresti missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.417316","2017-12-28 04:32:36.417316"
131,"city with key cluj missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.420097","2017-12-28 04:32:36.420097"
132,"city with key cluj missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.424709","2017-12-28 04:32:36.424709"
133,"city with key istanbul missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.542041","2017-12-28 04:32:36.542041"
134,"city with key istanbul missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.545076","2017-12-28 04:32:36.545076"
135,"city with key kharkov missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.566434","2017-12-28 04:32:36.566434"
136,"city with key dnipropetrovsk missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.569274","2017-12-28 04:32:36.569274"
137,"city with key borisov missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.653450","2017-12-28 04:32:36.653450"
138,"city with key zagreb missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.877563","2017-12-28 04:32:36.877563"
