id,name,kind,lat,lng,created_at,updated_at
214,Berlin,CITY,,,"2017-12-28 04:32:13.917391","2017-12-28 04:32:13.917391"
215,Estonia,CNTY,,,"2017-12-28 04:32:13.923045","2017-12-28 04:32:13.923045"
216,Tallinn,CITY,,,"2017-12-28 04:32:13.925303","2017-12-28 04:32:13.925303"
217,Spain,CNTY,,,"2017-12-28 04:32:13.931518","2017-12-28 04:32:13.931518"
218,Madrid,CITY,,,"2017-12-28 04:32:13.933771","2017-12-28 04:32:13.933771"
219,Finland,CNTY,,,"2017-12-28 04:32:13.940785","2017-12-28 04:32:13.940785"
220,Helsinki,CITY,,,"2017-12-28 04:32:13.943097","2017-12-28 04:32:13.943097"
221,France,CNTY,,,"2017-12-28 04:32:13.953298","2017-12-28 04:32:13.953298"
222,Paris,CITY,,,"2017-12-28 04:32:13.956125","2017-12-28 04:32:20.327012"
223,Greece,CNTY,,,"2017-12-28 04:32:13.963635","2017-12-28 04:32:13.963635"
224,Athens,CITY,,,"2017-12-28 04:32:13.966067","2017-12-28 04:32:13.966067"
225,Ireland,CNTY,,,"2017-12-28 04:32:13.973347","2017-12-28 04:32:13.973347"
226,Dublin,CITY,,,"2017-12-28 04:32:13.975884","2017-12-28 04:32:13.975884"
227,Italy,CNTY,,,"2017-12-28 04:32:13.983345","2017-12-28 04:32:13.983345"
228,Luxembourg,CNTY,,,"2017-12-28 04:32:13.989244","2017-12-28 04:32:13.989244"
229,Malta,CNTY,,,"2017-12-28 04:32:13.995215","2017-12-28 04:32:13.995215"
230,Netherlands,CNTY,,,"2017-12-28 04:32:14.000660","2017-12-28 04:32:14.000660"
231,Portugal,CNTY,,,"2017-12-28 04:32:14.007201","2017-12-28 04:32:14.007201"
232,Slovakia,CNTY,,,"2017-12-28 04:32:14.013001","2017-12-28 04:32:14.013001"
233,Slovenia,CNTY,,,"2017-12-28 04:32:14.020060","2017-12-28 04:32:14.020060"
234,Bulgaria,CNTY,,,"2017-12-28 04:32:14.025467","2017-12-28 04:32:14.025467"
235,Denmark,CNTY,,,"2017-12-28 04:32:14.031472","2017-12-28 04:32:14.031472"
236,Latvija,CNTY,,,"2017-12-28 04:32:14.037201","2017-12-28 04:32:14.037201"
237,Lithuania,CNTY,,,"2017-12-28 04:32:14.042340","2017-12-28 04:32:14.042340"
238,Poland,CNTY,,,"2017-12-28 04:32:14.047682","2017-12-28 04:32:14.047682"
239,Romania,CNTY,,,"2017-12-28 04:32:14.053266","2017-12-28 04:32:14.053266"
240,Sweden,CNTY,,,"2017-12-28 04:32:14.058801","2017-12-28 04:32:14.058801"
241,"Czech Republic",CNTY,,,"2017-12-28 04:32:14.065887","2017-12-28 04:32:14.065887"
242,Hungary,CNTY,,,"2017-12-28 04:32:14.071403","2017-12-28 04:32:14.071403"
243,"Great Britain",CNTY,,,"2017-12-28 04:32:14.077469","2017-12-28 04:32:14.077469"
244,Andorra,CNTY,,,"2017-12-28 04:32:14.082958","2017-12-28 04:32:14.082958"
245,Albania,CNTY,,,"2017-12-28 04:32:14.088023","2017-12-28 04:32:14.088023"
246,Belarus,CNTY,,,"2017-12-28 04:32:14.093352","2017-12-28 04:32:14.093352"
247,Switzerland,CNTY,,,"2017-12-28 04:32:14.098594","2017-12-28 04:32:14.098594"
248,Croatia,CNTY,,,"2017-12-28 04:32:14.103922","2017-12-28 04:32:14.103922"
249,Serbia,CNTY,,,"2017-12-28 04:32:14.108975","2017-12-28 04:32:14.108975"
250,Russia,CNTY,,,"2017-12-28 04:32:14.114212","2017-12-28 04:32:14.114212"
251,Turkey,CNTY,,,"2017-12-28 04:32:14.119246","2017-12-28 04:32:14.119246"
252,Ukraine,CNTY,,,"2017-12-28 04:32:14.124326","2017-12-28 04:32:14.124326"
253,Macedonia,CNTY,,,"2017-12-28 04:32:14.129297","2017-12-28 04:32:14.129297"
254,Norway,CNTY,,,"2017-12-28 04:32:14.134380","2017-12-28 04:32:14.134380"
255,Iceland,CNTY,,,"2017-12-28 04:32:14.139464","2017-12-28 04:32:14.139464"
256,"Vatican City",CNTY,,,"2017-12-28 04:32:14.144637","2017-12-28 04:32:14.144637"
257,"Vatican City",CITY,,,"2017-12-28 04:32:14.147143","2017-12-28 04:32:14.147143"
258,"Bosnia and Herzegovina",CNTY,,,"2017-12-28 04:32:14.153242","2017-12-28 04:32:14.153242"
259,Sarajevo,CITY,,,"2017-12-28 04:32:14.155860","2017-12-28 04:32:14.155860"
260,Liechtenstein,CNTY,,,"2017-12-28 04:32:14.162212","2017-12-28 04:32:14.162212"
261,Vaduz,CITY,,,"2017-12-28 04:32:14.165994","2017-12-28 04:32:14.165994"
262,Monaco,CNTY,,,"2017-12-28 04:32:14.172334","2017-12-28 04:32:14.172334"
263,Monaco,CITY,,,"2017-12-28 04:32:14.174712","2017-12-28 04:32:14.174712"
264,Montenegro,CNTY,,,"2017-12-28 04:32:14.183677","2017-12-28 04:32:14.183677"
265,Podgorica,CITY,,,"2017-12-28 04:32:14.185989","2017-12-28 04:32:14.185989"
266,Moldova,CNTY,,,"2017-12-28 04:32:14.192145","2017-12-28 04:32:14.192145"
267,"Chișinău",CITY,,,"2017-12-28 04:32:14.195374","2017-12-28 04:32:14.195374"
268,"San Marino",CNTY,,,"2017-12-28 04:32:14.201437","2017-12-28 04:32:14.201437"
269,"(City of) San Marino",CITY,,,"2017-12-28 04:32:14.204082","2017-12-28 04:32:14.204082"
270,Georgia,CNTY,,,"2017-12-28 04:32:14.211037","2017-12-28 04:32:14.211037"
271,Armenia,CNTY,,,"2017-12-28 04:32:14.217320","2017-12-28 04:32:14.217320"
272,Azerbaijan,CNTY,,,"2017-12-28 04:32:14.222494","2017-12-28 04:32:14.222494"
273,"Bakı",CITY,,,"2017-12-28 04:32:14.224856","2017-12-28 04:32:14.224856"
274,Bahrain,CNTY,,,"2017-12-28 04:32:14.232022","2017-12-28 04:32:14.232022"
