id,name,place_id,place_kind,lang,created_at,updated_at
192,"Wiener Neustadt",452,CITY,en,"2017-12-28 04:32:19.901874","2017-12-28 04:32:19.901874"
193,"Maria Enzersdorf",453,CITY,en,"2017-12-28 04:32:19.907633","2017-12-28 04:32:19.907633"
194,"St. Pölten",454,CITY,en,"2017-12-28 04:32:19.915681","2017-12-28 04:32:19.915681"
195,Horn,455,CITY,en,"2017-12-28 04:32:19.925854","2017-12-28 04:32:19.925854"
196,Krems,456,CITY,en,"2017-12-28 04:32:19.932920","2017-12-28 04:32:19.932920"
197,Mattersburg,457,CITY,en,"2017-12-28 04:32:19.938752","2017-12-28 04:32:19.938752"
198,Parndorf,458,CITY,en,"2017-12-28 04:32:19.946218","2017-12-28 04:32:19.946218"
199,Klagenfurt,459,CITY,en,"2017-12-28 04:32:19.953634","2017-12-28 04:32:19.953634"
200,Wolfsberg,460,CITY,en,"2017-12-28 04:32:19.959006","2017-12-28 04:32:19.959006"
201,"Spittal (an der Drau)",461,CITY,en,"2017-12-28 04:32:19.965814","2017-12-28 04:32:19.965814"
202,"Salzburg (Wals-Siezenheim)",462,CITY,en,"2017-12-28 04:32:19.971555","2017-12-28 04:32:19.971555"
203,"Grödig",463,CITY,en,"2017-12-28 04:32:19.977422","2017-12-28 04:32:19.977422"
204,Innsbruck,464,CITY,en,"2017-12-28 04:32:19.985425","2017-12-28 04:32:19.985425"
205,Kufstein,465,CITY,en,"2017-12-28 04:32:19.990887","2017-12-28 04:32:19.990887"
206,Wattens,466,CITY,en,"2017-12-28 04:32:19.997077","2017-12-28 04:32:19.997077"
207,Altach,467,CITY,en,"2017-12-28 04:32:20.002886","2017-12-28 04:32:20.002886"
208,Lustenau,468,CITY,en,"2017-12-28 04:32:20.008621","2017-12-28 04:32:20.008621"
209,Bregenz,469,CITY,en,"2017-12-28 04:32:20.017695","2017-12-28 04:32:20.017695"
210,Dornbirn,470,CITY,en,"2017-12-28 04:32:20.023525","2017-12-28 04:32:20.023525"
211,Geneva,471,CITY,en,"2017-12-28 04:32:20.030364","2017-12-28 04:32:20.030364"
212,Basel,472,CITY,en,"2017-12-28 04:32:20.036077","2017-12-28 04:32:20.036077"
213,Bern,473,CITY,en,"2017-12-28 04:32:20.042175","2017-12-28 04:32:20.042175"
214,Zurich,474,CITY,en,"2017-12-28 04:32:20.052808","2017-12-28 04:32:20.052808"
215,Dortmund,475,CITY,en,"2017-12-28 04:32:20.068572","2017-12-28 04:32:20.068572"
216,Gelsenkirchen,476,CITY,en,"2017-12-28 04:32:20.074262","2017-12-28 04:32:20.074262"
217,"Köln",477,CITY,en,"2017-12-28 04:32:20.082318","2017-12-28 04:32:20.082318"
218,"Mönchengladbach",478,CITY,en,"2017-12-28 04:32:20.087907","2017-12-28 04:32:20.087907"
219,Leverkusen,479,CITY,en,"2017-12-28 04:32:20.094128","2017-12-28 04:32:20.094128"
220,Bochum,480,CITY,en,"2017-12-28 04:32:20.101600","2017-12-28 04:32:20.101600"
221,Bielefeld,481,CITY,en,"2017-12-28 04:32:20.107533","2017-12-28 04:32:20.107533"
222,Paderborn,482,CITY,en,"2017-12-28 04:32:20.115612","2017-12-28 04:32:20.115612"
223,Augsburg,483,CITY,en,"2017-12-28 04:32:20.124382","2017-12-28 04:32:20.124382"
224,"Fürth",484,CITY,en,"2017-12-28 04:32:20.130561","2017-12-28 04:32:20.130561"
225,Ingolstadt,485,CITY,en,"2017-12-28 04:32:20.136307","2017-12-28 04:32:20.136307"
226,Stuttgart,486,CITY,en,"2017-12-28 04:32:20.143490","2017-12-28 04:32:20.143490"
227,Sinsheim,487,CITY,en,"2017-12-28 04:32:20.150336","2017-12-28 04:32:20.150336"
228,"Freiburg (im Breisgau)",488,CITY,en,"2017-12-28 04:32:20.155873","2017-12-28 04:32:20.155873"
229,Karlsruhe,489,CITY,en,"2017-12-28 04:32:20.162102","2017-12-28 04:32:20.162102"
230,Aalen,490,CITY,en,"2017-12-28 04:32:20.167728","2017-12-28 04:32:20.167728"
231,Sandhausen,491,CITY,en,"2017-12-28 04:32:20.174067","2017-12-28 04:32:20.174067"
232,Heidenheim,492,CITY,en,"2017-12-28 04:32:20.180678","2017-12-28 04:32:20.180678"
233,Frankfurt,493,CITY,en,"2017-12-28 04:32:20.187373","2017-12-28 04:32:20.187373"
234,Darmstadt,494,CITY,en,"2017-12-28 04:32:20.198176","2017-12-28 04:32:20.198176"
235,Hannover,495,CITY,en,"2017-12-28 04:32:20.203772","2017-12-28 04:32:20.203772"
236,Wolfsburg,496,CITY,en,"2017-12-28 04:32:20.210737","2017-12-28 04:32:20.210737"
237,Braunschweig,497,CITY,en,"2017-12-28 04:32:20.217677","2017-12-28 04:32:20.217677"
238,Leipzig,498,CITY,en,"2017-12-28 04:32:20.223062","2017-12-28 04:32:20.223062"
239,Dresden,499,CITY,en,"2017-12-28 04:32:20.229275","2017-12-28 04:32:20.229275"
240,Aue,500,CITY,en,"2017-12-28 04:32:20.234834","2017-12-28 04:32:20.234834"
241,Kaiserslautern,501,CITY,en,"2017-12-28 04:32:20.241796","2017-12-28 04:32:20.241796"
242,Mainz,502,CITY,en,"2017-12-28 04:32:20.248545","2017-12-28 04:32:20.248545"
243,London,503,CITY,en,"2017-12-28 04:32:20.255198","2017-12-28 04:32:20.255198"
244,Manchester,504,CITY,en,"2017-12-28 04:32:20.266124","2017-12-28 04:32:20.266124"
245,Newcastle,505,CITY,en,"2017-12-28 04:32:20.273888","2017-12-28 04:32:20.273888"
246,Barcelona,506,CITY,en,"2017-12-28 04:32:20.291291","2017-12-28 04:32:20.291291"
247,Sevilla,507,CITY,en,"2017-12-28 04:32:20.303059","2017-12-28 04:32:20.303059"
248,Valencia,508,CITY,en,"2017-12-28 04:32:20.313628","2017-12-28 04:32:20.313628"
249,Marseille,509,CITY,en,"2017-12-28 04:32:20.333108","2017-12-28 04:32:20.333108"
250,"Lyon (Décines-Charpieu)",510,CITY,en,"2017-12-28 04:32:20.340070","2017-12-28 04:32:20.340070"
251,"Lille (Villeneuve-d'Ascq)",511,CITY,en,"2017-12-28 04:32:20.345879","2017-12-28 04:32:20.345879"
252,Lens,512,CITY,en,"2017-12-28 04:32:20.353043","2017-12-28 04:32:20.353043"
253,Bordeaux,513,CITY,en,"2017-12-28 04:32:20.358788","2017-12-28 04:32:20.358788"
254,Saint-Etienne,514,CITY,en,"2017-12-28 04:32:20.365080","2017-12-28 04:32:20.365080"
255,Toulouse,515,CITY,en,"2017-12-28 04:32:20.371946","2017-12-28 04:32:20.371946"
256,Nice,516,CITY,en,"2017-12-28 04:32:20.377703","2017-12-28 04:32:20.377703"
257,Roma,517,CITY,en,"2017-12-28 04:32:20.385309","2017-12-28 04:32:20.385309"
258,Bari,518,CITY,en,"2017-12-28 04:32:20.390959","2017-12-28 04:32:20.390959"
259,Milano,519,CITY,en,"2017-12-28 04:32:20.397459","2017-12-28 04:32:20.397459"
260,Napoli,520,CITY,en,"2017-12-28 04:32:20.404450","2017-12-28 04:32:20.404450"
261,Amsterdam,521,CITY,en,"2017-12-28 04:32:20.414096","2017-12-28 04:32:20.414096"
262,Rotterdam,522,CITY,en,"2017-12-28 04:32:20.421029","2017-12-28 04:32:20.421029"
263,Warszawa,523,CITY,en,"2017-12-28 04:32:20.427905","2017-12-28 04:32:20.427905"
264,Gdansk,524,CITY,en,"2017-12-28 04:32:20.434811","2017-12-28 04:32:20.434811"
265,"Wrocław",525,CITY,en,"2017-12-28 04:32:20.440454","2017-12-28 04:32:20.440454"
266,Poznan,526,CITY,en,"2017-12-28 04:32:20.446569","2017-12-28 04:32:20.446569"
267,Lisboa,527,CITY,en,"2017-12-28 04:32:20.454398","2017-12-28 04:32:20.454398"
268,Porto,528,CITY,en,"2017-12-28 04:32:20.466430","2017-12-28 04:32:20.466430"
269,Kiev,529,CITY,en,"2017-12-28 04:32:20.473046","2017-12-28 04:32:20.473046"
